cve,descrip
"T322","CORROSIONES QUE AFECTAN DEL 20 AL 29% DE LA SUPERFICIE DEL CUERPO"
"T323","CORROSIONES QUE AFECTAN DEL 30 AL 39% DE LA SUPERFICIE DEL CUERPO"
"T324","CORROSIONES QUE AFECTAN DEL 40 AL 49% DE LA SUPERFICIE DEL CUERPO"
"T325","CORROSIONES QUE AFECTAN DEL 50 AL 59% DE LA SUPERFICIE DEL CUERPO"
"T326","CORROSIONES QUE AFECTAN DEL 60 AL 69% DE LA SUPERFICIE DEL CUERPO"
"T327","CORROSIONES QUE AFECTAN DEL 70 AL 79% DE LA SUPERFICIE DEL CUERPO"
"T328","CORROSIONES QUE AFECTAN DEL 80 AL 89% DE LA SUPERFICIE DEL CUERPO"
"T329","CORROSIONES QUE AFECTAN EL 90% O MAS DE LA SUPERFICIE DEL CUERPO"
"T330","CONGELAMIENTO SUPERFICIAL DE LA CABEZA"
"T331","CONGELAMIENTO SUPERFICIAL DEL CUELLO"
"T332","CONGELAMIENTO SUPERFICIAL DEL TORAX"
"T333","CONGELAMIENTO SUPERFICIAL DE LA PARED ABDOMINAL, REGION LUMBOSACRA Y PELVIS"
"T334","CONGELAMIENTO SUPERFICIAL DEL BRAZO"
"T335","CONGELAMIENTO SUPERFICIAL DE LA MUÑECA Y DE LA MANO"
"T336","CONGELAMIENTO SUPERFICIAL DE LA CADERA Y DEL MUSLO"
"T337","CONGELAMIENTO SUPERFICIAL DE LA RODILLA Y DE LA PIERNA"
"T338","CONGELAMIENTO SUPERFICIAL DEL TOBILLO Y DEL PIE"
"T339","CONGELAMIENTO SUPERFICIAL DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS"
"T340","CONGELAMIENTO CON NECROSIS TISULAR DE LA CABEZA"
"T341","CONGELAMIENTO CON NECROSIS TISULAR DEL CUELLO"
"T342","CONGELAMIENTO CON NECROSIS TISULAR DEL TORAX"
"T343","CONGELAMIENTO CON NECROSIS TISULAR DE LA PARED ABDOMINAL, REGION LUMBOSACRA Y PELVIS"
"T344","CONGELAMIENTO CON NECROSIS TISULAR DEL BRAZO"
"T345","CONGELAMIENTO CON NECROSIS TISULAR DE LA MUÑECA Y DE LA MANO"
"T346","CONGELAMIENTO CON NECROSIS TISULAR DE LA CADERA Y DEL MUSLO"
"T347","CONGELAMIENTO CON NECROSIS TISULAR DE LA RODILLA Y DE LA PIERNA"
"T348","CONGELAMIENTO CON NECROSIS TISULAR DEL TOBILLO Y DEL PIE"
"T349","CONGELAMIENTO CON NECROSIS TISULAR DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS"
"T350","CONGELAMIENTO SUPERFICIAL QUE AFECTA MULTIPLES REGIONES DEL CUERPO"
"T351","CONGELAMIENTO CON NECROSIS TISULAR QUE AFECTA MULTIPLES REGIONES DEL CUERPO"
"T352","CONGELAMIENTO NO ESPECIFICADO DE LA CABEZA Y DEL CUELLO"
"T353","CONGELAMIENTO NO ESPECIFICADO DEL TORAX, DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS"
"T354","CONGELAMIENTO NO ESPECIFICADO DEL MIEMBRO SUPERIOR"
"T355","CONGELAMIENTO NO ESPECIFICADO DEL MIEMBRO INFERIOR"
"T356","CONGELAMIENTO NO ESPECIFICADO QUE AFECTA MULTIPLES REGIONES DEL CUERPO"
"T357","CONGELAMIENTO NO ESPECIFICADO, DE SITIO NO ESPECIFICADO"
"T360","ENVENENAMIENTO POR PENICILINAS"
"T361","ENVENENAMIENTO POR CEFALOSPORINAS Y OTROS ANTIBIOTICOS BETA-LACTAMICOS"
"T362","ENVENENAMIENTO POR ANTIBIOTICOS DEL GRUPO DEL CLORAMFENICOL"
"T363","ENVENENAMIENTO POR MACROLIDOS"
"T364","ENVENENAMIENTO POR TETRACICLINAS"
"T365","ENVENENAMIENTO POR AMINOGLUCOSIDOS"
"T366","ENVENENAMIENTO POR RIFAMICINAS"
"T367","ENVENENAMIENTO POR ANTIBIOTICOS ANTIMICOTICOS USADOS SISTEMICAMENTE"
"T368","ENVENENAMIENTO POR OTROS ANTIBIOTICOS SISTEMICOS"
"T369","ENVENENAMIENTO POR ANTIBIOTICOS SISTEMICOS, NO ESPECIFICADOS"
"T370","ENVENENAMIENTO POR SULFONAMIDAS"
"T371","ENVENENAMIENTO POR DROGAS ANTIMICOBACTERIANAS"
"T372","ENVENENAMIENTO POR ANTIPALUDICOS Y DROGAS DE ACCION CONTRA OTROS PROTOZOARIOS SANGUINEOS"
"T373","ENVENENAMIENTO POR OTRAS DROGAS ANTIPROTOZOARIAS"
"T374","ENVENENAMIENTO POR ANTIHELMINTICOS"
"T375","ENVENENAMIENTO POR DROGAS ANTIVIRALES"
"T378","ENVENENAMIENTO POR OTROS ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS ESPECIFICADOS"
"T379","ENVENENAMIENTO POR ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS, NO ESPECIFICADOS"
"T380","ENVENENAMIENTO POR GLUCOCORTICOIDES Y ANALOGOS SINTETICOS"
"T381","ENVENENAMIENTO POR HORMONAS TIROIDEAS Y SUSTITUTOS"
"T382","ENVENENAMIENTO POR DROGAS ANTITIROIDEAS"
"T383","ENVENENAMIENTO POR INSULINA Y DROGAS HIPOGLUCEMIANTES ORALES [ANTIDIABETICAS]"
"T384","ENVENENAMIENTO POR ANTICONCEPTIVOS ORALES"
"T385","ENVENENAMIENTO POR OTROS ESTROGENOS Y PROGESTOGENOS"
"T386","ENVENENAMIENTO POR ANTIGONADOTROFINAS, ANTIESTROGENOS Y ANTIANDROGENOS, NO CLASIFICADOS EN OTRA PARTE"
"T387","ENVENENAMIENTO POR ANDROGENOS Y SUS CONGENERES ANABOLICOS"
"T388","ENVENENAMIENTO POR OTRAS HORMONAS Y SUSTITUTOS SINTETICOS Y LOS NO ESPECIFICADOS"
"T389","ENVENENAMIENTO POR OTROS ANTAGONISTAS DE LAS HORMONAS Y LOS NO ESPECIFICADOS"
"T390","ENVENENAMIENTO POR SALICILATOS"
"T391","ENVENENAMIENTO POR DERIVADOS DEL PARAAMINOFENOL"
"T392","ENVENENAMIENTO POR DERIVADOS DE LA PIRAZOLONA"
"T393","ENVENENAMIENTO POR OTRAS DROGAS ANTIIFLAMATORIAS NO ESTEROIDEAS [DAINE]"
"T394","ENVENENAMIENTO POR ANTIRREUMATICOS, NO CLASIFICADOS EN OTRA PARTE"
"T398","ENVENENAMIENTO POR OTROS ANALGESICOS NO NARCOTICOS Y ANTIPIRETICOS, NO CLASIFICADOS EN OTRA PARTE"
"T399","ENVENENAMIENTO POR ANALGESICOS NO NARCOTICOS, ANTIPIRETICOS Y ANTIRREUMATICOS, NO ESPECIFICADOS"
"T400","ENVENENAMIENTO POR OPIO"
"T401","ENVENENAMIENTO POR HEROINA"
"T402","ENVENENAMIENTO POR OTROS OPIACEOS"
"T403","ENVENENAMIENTO POR METADONA"
"T404","ENVENENAMIENTO POR OTROS NARCOTICOS SINTETICOS"
"T405","ENVENENAMIENTO POR COCAINA"
"T406","ENVENENAMIENTO POR OTROS NARCOTICOS Y LOS NO ESPECIFICADOS"
"T407","ENVENENAMIENTO POR CANNABIS (DERIVADOS)"
"T408","ENVENENAMIENTO POR ACIDO LISERGICO [LSD]"
"T409","ENVENENAMIENTO POR OTROS PSICODISLEPTICOS Y LOS NO ESPECIFICADOS [ALUCINOGENOS]"
"T410","ENVENENAMIENTO POR ANESTESICOS POR INHALACION"
"T411","ENVENENAMIENTO POR ANESTESICOS INTRAVENOSOS"
"T412","ENVENENAMIENTO POR OTROS ANESTESICOS GENERALES Y LOS NO ESPECIFICADOS"
"T413","ENVENENAMIENTO POR ANESTESICOS LOCALES"
"T414","ENVENENAMIENTO POR ANESTESICOS, NO ESPECIFICADOS"
"T415","ENVENENAMIENTO POR GASES TERAPEUTICOS"
"T420","ENVENENAMIENTO POR DERIVADOS DE LA HIDANTOINA"
"T421","ENVENENAMIENTO POR IMINOSTILBENOS"
"T422","ENVENENAMIENTO POR SUCCINAMIDAS Y DERIVADOS DE LA OXAZOLIDINA"
"T423","ENVENENAMIENTO POR BARBITURICOS"
"T424","ENVENENAMIENTO POR BENZODIAZEPINAS"
"T425","ENVENENAMIENTO POR ANTIEPILEPTICOS MIXTOS, NO CLASIFICADOS EN OTRA PARTE"
"T426","ENVENENAMIENTO POR OTROS ANTIEPILEPTICOS Y DROGAS HIPNOTICO-SEDANTES"
"T427","ENVENENAMIENTO POR ANTIEPILEPTICOS Y DROGAS HIPNOTICO-SEDANTES, NO ESPECIFICADOS"
"T428","ENVENENAMIENTO POR DROGAS ANTIPARKINSONIANAS Y OTROS DEPRESORES DEL TONO MUSCULAR CENTRAL"
"T430","ENVENENAMIENTO POR ANTIDEPRESIVOS TRICICLICOS Y TETRACICLICOS"
"T431","ENVENENAMIENTO POR ANTIDEPRESIVOS INHIBIDORES DE LA MONOAMINOXIDASA"
"T432","ENVENENAMIENTO POR OTROS ANTIDEPRESIVOS Y LOS NO ESPECIFICADOS"
"T433","ENVENENAMIENTO POR ANTIPSICOTICOS Y NEUROLEPTICOS FENOTIACINICOS"
"T434","ENVENENAMIENTO POR BUTIROFENONA Y NEUROLEPTICOS TIOXANTENICOS"
"T435","ENVENENAMIENTO POR OTROS ANTIPSICOTICOS Y NEUROLEPTICOS Y LOS NO ESPECIFICADOS"
"T436","ENVENENAMIENTO POR PSICOESTIMULANTES CON ABUSO POTENCIAL"
"T438","ENVENENAMIENTO POR OTRAS DROGAS PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE"
"T439","ENVENENAMIENTO POR DROGA PSICOTROPICA, NO ESPECIFICADA"
"T440","ENVENENAMIENTO POR AGENTES ANTICOLINESTERASA"
"T441","ENVENENAMIENTO POR OTROS PARASIMPATICOMIMETICOS [COLINERGICOS]"
"T442","ENVENENAMIENTO POR DROGAS BLOQUEADORAS GANGLIONARES, NO CLASIFICADAS EN OTRA PARTE"
"T443","ENVENENAMIENTO POR OTROS PARASIMPATICOLITICOS [ANTICOLINERGICOS Y ANTIMUSCARINICOS] Y ESPASMOLITICOS, NO CLASIFICADOS EN OTRA PARTE"
"T444","ENVENENAMIENTO POR AGONISTAS, PREDOMINANTEMENTE ALFA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE"
"T445","ENVENENAMIENTO POR AGONISTAS, PREDOMINANTEMENTE BETA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE"
"T446","ENVENENAMIENTO POR ANTAGONISTAS ALFA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE"
"T447","ENVENENAMIENTO POR ANTAGONISTAS BETA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE"
"T448","ENVENENAMIENTO POR AGENTES DE ACCION CENTRAL Y BLOQUEADORES NEURONALES ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE"
"T449","ENVENENAMIENTO POR OTRAS DROGAS Y LAS NO ESPECIFICADAS QUE AFECTAN PRINCIPALMENTE EL SISTEMA NERVIOSO AUTONOMO"
"T450","ENVENENAMIENTO POR DROGAS ANTIALERGICAS Y ANTIEMETICAS"
"T451","ENVENENAMIENTO POR DROGAS ANTINEOPLASICAS E INMUNOSUPRESORAS"
"T452","ENVENENAMIENTO POR VITAMINAS, NO CLASIFICADAS EN OTRA PARTE"
"T453","ENVENENAMIENTO POR ENZIMAS, NO CLASIFICADAS EN OTRA PARTE"
"T454","ENVENENAMIENTO POR HIERRO Y SUS COMPUESTOS"
"T455","ENVENENAMIENTO POR ANTICOAGULANTES"
"T456","ENVENENAMIENTO POR DROGAS QUE AFECTAN LA FIBRINOLISIS"
"T457","ENVENENAMIENTO POR ANTAGONISTAS DE ANTICOAGULANTES, VITAMINA K Y OTROS COAGULANTES"
"T458","ENVENENAMIENTO POR OTROS AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS"
"T459","ENVENENAMIENTO POR AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO ESPECIFICADOS"
"T460","ENVENENAMIENTO POR GLUCOSIDOS CARDIOTONICOS Y MEDICAMENTOS DE ACCION SIMILAR"
"T461","ENVENENAMIENTO POR BLOQUEADORES DEL CANAL DEL CALCIO"
"T462","ENVENENAMIENTO POR OTRAS DROGAS ANTIARRITMICAS, NO CLASIFICADAS EN OTRA PARTE"
"T463","ENVENENAMIENTO POR VASODILATADORES CORONARIOS, NO CLASIFICADOS EN OTRA PARTE"
"T464","ENVENENAMIENTO POR INHIBIDORES DE LA ENZIMA CONVERTIDORA DE LA ANGIOTENSINA"
"T465","ENVENENAMIENTO POR OTRAS DROGAS ANTIHIPERTENSIVAS, NO CLASIFICADAS EN OTRA PARTE"
"T466","ENVENENAMIENTO POR DROGAS ANTILIPEMICAS Y ANTIARTERIOSCLEROTICAS"
"T467","ENVENENAMIENTO POR VASODILATADORES PERIFERICOS"
"T468","ENVENENAMIENTO POR DROGAS ANTIVARICOSAS, INCLUSIVE AGENTES ESCLEROSANTES"
"T469","ENVENENAMIENTO POR OTROS AGENTES Y LOS NO ESPECIFICADOS QUE AFECTAN PRINCIPALMENTE EL SISTEMA CARDIOVASCULAR"
"T470","ENVENENAMIENTO POR ANTAGONISTAS DEL RECEPTOR H2 DE HISTAMINA"
"T471","ENVENENAMIENTO POR OTRAS DROGAS ANTIACIDAS Y QUE INHIBEN LA SECRECION GASTRICA"
"T472","ENVENENAMIENTO POR LAXANTES ESTIMULANTES"
"T473","ENVENENAMIENTO POR LAXANTES SALINOS Y OSMOTICOS"
"T474","ENVENENAMIENTO POR OTROS LAXANTES"
"T475","ENVENENAMIENTO POR DIGESTIVOS"
"T476","ENVENENAMIENTO POR DROGAS ANTIDIARREICAS"
"T477","ENVENENAMIENTO POR EMETICOS"
"T478","ENVENENAMIENTO POR OTROS AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA GASTROINTESTINAL"
"T479","ENVENENAMIENTO POR AGENTES NO ESPECIFICADOS QUE AFECTAN PRINCIPALMENTE EL SISTEMA GASTROINTESTINAL"
"T480","ENVENENAMIENTO POR DROGAS OXITOCICAS"
"T481","ENVENENAMIENTO POR RELAJANTES MUSCULOESQUELETICOS [AGENTES BLOQUEADORES NEUROMUSCULARES]"
"T482","ENVENENAMIENTO POR OTROS MEDICAMENTOS Y LOS NO ESPECIFICADOS DE ACCION PRINCIPAL SOBRE LOS MUSCULOS"
"T483","ENVENENAMIENTO POR ANTITUSIGENOS"
"T484","ENVENENAMIENTO POR EXPECTORANTES"
"T485","ENVENENAMIENTO POR DROGAS CONTRA EL CATARRO COMUN"
"T486","ENVENENAMIENTO POR ANTIASMATICOS, NO CLASIFICADOS EN OTRA PARTE"
"T487","ENVENENAMIENTO POR OTROS AGENTES Y LOS NO ESPECIFICADOS DE ACCION PRINCIPAL SOBRE EL SISTEMA RESPIRATORIO"
"T490","ENVENENAMIENTO POR DROGAS LOCALES ANTIMICOTICAS, ANTIINFECCIOSAS Y ANTIINFLAMATORIAS, NO CLASIFICADAS EN OTRA PARTE"
"T491","ENVENENAMIENTO POR ANTIPRURITICOS"
"T492","ENVENENAMIENTO POR ASTRINGENTES Y DETERGENTES LOCALES"
"T493","ENVENENAMIENTO POR EMOLIENTES, DEMULCENTES Y PROTECTORES"
"T494","ENVENENAMIENTO POR QUERATOLITICOS, QUERATOPLASTICOS, DROGAS Y OTRAS PREPARACIONES PARA EL TRATAMIENTO DEL CABELLO"
"T495","ENVENENAMIENTO POR DROGAS Y PREPARACIONES OFTALMOLOGICAS"
"T496","ENVENENAMIENTO POR DROGAS Y PREPARACIONES OTORRINOLARINGOLOGICAS"
"T497","ENVENENAMIENTO POR DROGAS DENTALES, APLICADAS TOPICAMENTE"
"T498","ENVENENAMIENTO POR OTROS AGENTES TOPICOS"
"T499","ENVENENAMIENTO POR AGENTES TOPICOS, NO ESPECIFICADOS"
"T500","ENVENENAMIENTO POR MINERALOCORTICOIDES Y SUS ANTAGONISTAS"
"T501","ENVENENAMIENTO POR DIURETICOS DEL ASA [DINTEL ALTO]"
"T502","ENVENENAMIENTO POR INHIBIDORES DE LA ANHIDRASA DEL ACIDO CARBONICO, BENZOTIAZIDAS Y OTROS DIURETICOS"
"T503","ENVENENAMIENTO POR AGENTES DEL EQUILIBRIO HIDROLITICO, ELECTROLITICO Y CALORICO"
"T504","ENVENENAMIENTO POR DROGAS QUE AFECTAN EL METABOLISMO DEL ACIDO URICO"
"T505","ENVENENAMIENTO POR DEPRESORES DEL APETITO"
"T506","ENVENENAMIENTO POR ANTIDOTOS Y AGENTES QUELANTES, NO CLASIFICADOS EN OTRA PARTE"
"T507","ENVENENAMIENTO POR ANALEPTICOS Y ANTAGONISTAS DEL OPIO"
"T508","ENVENENAMIENTO POR AGENTES DIAGNOSTICOS"
"T509","ENVENENAMIENTO POR OTRAS DROGAS Y SUSTANCIAS BIOLOGICAS, Y LAS NO ESPECIFICADAS"
"T510","EFECTO TOXICO DEL ETANOL"
"T511","EFECTO TOXICO DEL METANOL"
"T512","EFECTO TOXICO DEL PROPANOL-2"
"T513","EFECTO TOXICO DEL LICOR DE ALCOHOL INSUFICIENTEMENTE DESTILADO"
"T518","EFECTO TOXICO DE OTROS ALCOHOLES"
"T519","EFECTO TOXICO DEL ALCOHOL, NO ESPECIFICADO"
"T520","EFECTO TOXICO DE PRODUCTOS DEL PETROLEO"
"T521","EFECTO TOXICO DEL BENCENO"
"T522","EFECTO TOXICO DE HOMOLOGOS DEL BENCENO"
"T523","EFECTO TOXICO DE GLICOLES"
"T524","EFECTO TOXICO DE CETONAS"
"T528","EFECTO TOXICO DE OTROS DISOLVENTES ORGANICOS"
"T529","EFECTO TOXICO DE DISOLVENTES ORGANICOS, NO ESPECIFICADOS"
"T530","EFECTO TOXICO DEL TETRACLORURO DE CARBONO"
"T531","EFECTO TOXICO DEL CLOROFORMO"
"T532","EFECTO TOXICO DEL TRICLOROETILENO"
"T533","EFECTO TOXICO DEL TETRACLOROETILENO"
"T534","EFECTO TOXICO DEL DICLOROETANO"
"T535","EFECTO TOXICO DE CLOROFLUOROCARBUROS"
"T536","EFECTO TOXICO DE OTROS DERIVADOS HALOGENADOS DE HIDROCARBUROS ALIFATICOS"
"T537","EFECTO TOXICO DE OTROS DERIVADOS HALOGENADOS DE HIDROCARBUROS AROMATICOS"
"T539","EFECTO TOXICO DE DERIVADOS HALOGENADOS DE HIDROCARBUROS ALIFATICOS Y AROMATICOS, NO ESPECIFICADOS"
"T540","EFECTO TOXICO DE FENOL Y HOMOLOGOS DEL FENOL"
"T541","EFECTO TOXICO DE OTROS COMPUESTOS ORGANICOS CORROSIVOS"
"T542","EFECTO TOXICO DE ACIDOS CORROSIVOS Y SUSTANCIAS ACIDAS SIMILARES"
"T543","EFECTO TOXICO DE ALCALIS CAUSTICOS Y SUSTANCIAS ALCALINAS SIMILARES"
"T549","EFECTO TOXICO DE SUSTANCIA CORROSIVA, NO ESPECIFICADA"
"T55X","EFECTO TOXICO DE DETERGENTES Y JABONES"
"T560","EFECTO TOXICO DEL PLOMO Y SUS COMPUESTOS"
"T561","EFECTO TOXICO DEL MERCURIO Y SUS COMPUESTOS"
"T562","EFECTO TOXICO DEL CROMO Y SUS COMPUESTOS"
"T563","EFECTO TOXICO DEL CADMIO Y SUS COMPUESTOS"
"T564","EFECTO TOXICO DEL COBRE Y SUS COMPUESTOS"
"T565","EFECTO TOXICO DEL ZINC Y SUS COMPUESTOS"
"T566","EFECTO TOXICO DEL ESTAÑO Y SUS COMPUESTOS"
"T567","EFECTO TOXICO DEL BERILIO Y SUS COMPUESTOS"
"T568","EFECTO TOXICO DE OTROS METALES"
"T569","EFECTO TOXICO DE METAL, NO ESPECIFICADO"
"T570","EFECTO TOXICO DEL ARSENICO Y SUS COMPUESTOS"
"T571","EFECTO TOXICO DEL FOSFORO Y SUS COMPUESTOS"
"T572","EFECTO TOXICO DEL MANGANESO Y SUS COMPUESTOS"
"T573","EFECTO TOXICO DEL ACIDO CIANHIDRICO"
"T578","EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS, ESPECIFICADAS"
"T579","EFECTO TOXICO DE SUSTANCIA INORGANICA, NO ESPECIFICADA"
"T58X","EFECTO TOXICO DEL MONOXIDO DE CARBONO"
"T590","EFECTO TOXICO DE OXIDOS DE NITROGENO"
"T591","EFECTO TOXICO DEL DIOXIDO DE SULFURO"
"T592","EFECTO TOXICO DEL FORMALDEHIDO"
"T593","EFECTO TOXICO DEL GAS LACRIMOGENO"
"T594","EFECTO TOXICO DEL CLORO GASEOSO"
"T595","EFECTO TOXICO DEL GAS DE FLUOR Y FLUORURO DE HIDROGENO"
"T596","EFECTO TOXICO DEL SULFURO DE HIDROGENO"
"T597","EFECTO TOXICO DEL DIOXIDO DE CARBONO"
"T598","EFECTO TOXICO DE OTROS GASES, HUMOS Y VAPORES ESPECIFICADOS"
"T599","EFECTO TOXICO DE GASES, HUMOS Y VAPORES NO ESPECIFICADOS"
"T600","EFECTO TOXICO DE INSECTICIDAS ORGANOFOSFORADOS Y CARBAMATOS"
"T601","EFECTO TOXICO DE INSECTICIDAS HALOGENADOS"
"T602","EFECTO TOXICO DE OTROS INSECTICIDAS"
"T603","EFECTO TOXICO DE HERBICIDAS Y FUNGICIDAS"
"T604","EFECTO TOXICO DE RODENTICIDAS"
"T608","EFECTO TOXICO DE OTROS PLAGUICIDAS"
"T609","EFECTO TOXICO DE PLAGUICIDA, NO ESPECIFICADO"
"T610","ENVENENAMIENTO CIGUATERO POR PESCADO"
"T611","ENVENENAMIENTO ESCOMBROIDEO POR PESCADO"
"T612","OTROS ENVENENAMIENTOS POR PESCADOS Y MARISCOS"
"T618","EFECTO TOXICO DE OTROS ALIMENTOS MARINOS"
"T619","EFECTO TOXICO DE ALIMENTOS MARINOS NO ESPECIFICADOS"
"T620","EFECTO TOXICO DE HONGOS INGERIDOS"
"T621","EFECTO TOXICO DE BAYAS INGERIDAS"
"T622","EFECTO TOXICO DE OTRA(S) (PARTES DE) PLANTA(S) INGERIDA(S)"
"T628","EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS ESPECIFICADAS INGERIDAS COMO ALIMENTO"
"T629","EFECTO TOXICO DE SUSTANCIA NOCIVA INGERIDA COMO ALIMENTO, NO ESPECIFICADA"
"T630","EFECTO TOXICO DEL VENENO DE SERPIENTE"
"T631","EFECTO TOXICO DEL VENENO DE OTROS REPTILES"
"T632","EFECTO TOXICO DEL VENENO DE ESCORPION"
"T633","EFECTO TOXICO DEL VENENO DE ARAÑAS"
"T634","EFECTO TOXICO DEL VENENO DE OTROS ARTROPODOS"
"T635","EFECTO TOXICO DEL CONTACTO CON PECES"
"T636","EFECTO TOXICO DEL CONTACTO CON OTROS ANIMALES MARINOS"
"T638","EFECTOS TOXICOS DEL CONTACTO CON OTROS ANIMALES VENENOSOS"
"T639","EFECTO TOXICO DEL CONTACTO CON ANIMAL VENENOSO NO ESPECIFICADO"
"T64X","EFECTO TOXICO DE AFLATOXINA Y OTRAS MICOTOXINAS CONTAMINANTES DE ALIMENTOS"
"T650","EFECTO TOXICO DEL CIANURO"
"T651","EFECTO TOXICO DE LA ESTRICNINA Y SUS SALES"
"T652","EFECTO TOXICO DEL TABACO Y LA NICOTINA"
"T653","EFECTO TOXICO DE NITRODERIVADOS Y AMINODERIVADOS DEL BENCENO Y SUS HOMOLOGOS"
"T654","EFECTO TOXICO DEL BISULFURO DE CARBONO"
"T655","EFECTO TOXICO DE NITROGLICERINA Y OTROS ACIDOS Y ESTERES NITRICOS"
"T656","EFECTO TOXICO DE PINTURAS Y COLORANTES, NO CLASIFICADOS EN OTRA PARTE"
"T658","EFECTO TOXICO DE OTRAS SUSTANCIAS ESPECIFICADAS"
"T659","EFECTO TOXICO DE SUSTANCIA NO ESPECIFICADA"
"T66X","EFECTOS NO ESPECIFICADOS DE LA RADIACION"
"T670","GOLPE DE CALOR E INSOLACION"
"T671","SINCOPE POR CALOR"
"T672","CALAMBRE POR CALOR"
"T673","AGOTAMIENTO POR CALOR, ANHIDROTICO"
"T674","AGOTAMIENTO POR CALOR DEBIDA A DEPLECION DE SAL"
"T675","AGOTAMIENTO POR CALOR NO ESPECIFICADO"
"T676","FATIGA POR CALOR, TRANSITORIA"
"T677","EDEMA POR CALOR"
"T678","OTROS EFECTOS DEL CALOR Y DE LA LUZ"
"T679","EFECTO DEL CALOR Y DE LA LUZ, NO ESPECIFICADO"
"T68X","HIPOTERMIA"
"T690","MANO Y PIE DE INMERSION"
"T691","SABAÑON(ES)"
"T698","OTROS EFECTOS ESPECIFICADOS DE LA REDUCCION DE LA TEMPERATURA"
"T699","EFECTO DE LA REDUCCION DE LA TEMPERATURA, NO ESPECIFICADO"
"T700","BAROTRAUMA OTITICO"
"T701","BAROTRAUMA SINUSAL"
"T702","OTROS EFECTOS Y LOS NO ESPECIFICADOS DE LA GRAN ALTITUD"
"T703","ENFERMEDAD POR DESCOMPRESION [DE LOS CAJONES SUMERGIDOS]"
"T704","EFECTOS DE LIQUIDOS CON ALTA PRESION"
"T708","OTROS EFECTOS DE LA PRESION DEL AIRE Y DEL AGUA"
"T709","EFECTO DE LA PRESION DEL AIRE Y DEL AGUA, NO ESPECIFICADO"
"T71X","ASFIXIA"
"T730","EFECTOS DEL HAMBRE"
"T731","EFECTOS DE LA SED"
"T732","AGOTAMIENTO DEBIDO A EXPOSICION A LA INTEMPERIE"
"T733","AGOTAMIENTO DEBIDO A ESFUERZO EXCESIVO"
"T738","OTROS EFECTOS DE PRIVACION"
"T739","EFECTOS DE PRIVACION, NO ESPECIFICADOS"
"T740","NEGLIGENCIA O ABANDONO"
"T741","ABUSO FISICO"
"T742","ABUSO SEXUAL"
"T743","ABUSO PSICOLOGICO"
"T748","OTROS SINDROMES DEL MALTRATO"
"T749","SINDROME DEL MALTRATO, NO ESPECIFICADO"
"T750","EFECTOS DEL RAYO"
"T751","AHOGAMIENTO Y SUMERSION NO MORTAL"
"T752","EFECTOS DE LA VIBRACION"
"T753","MAL DEL MOVIMIENTO"
"T754","EFECTOS DE LA CORRIENTE ELECTRICA"
"T758","OTROS EFECTOS ESPECIFICADOS DE CAUSAS EXTERNAS"
"T780","CHOQUE ANAFILACTICO DEBIDO A REACCION ADVERSA A ALIMENTOS"
"T781","OTRA REACCION ADVERSA A ALIMENTOS, NO CLASIFICADA EN OTRA PARTE"
"T782","CHOQUE ANAFILACTICO, NO ESPECIFICADO"
"T783","EDEMA ANGIONEUROTICO"
"T784","ALERGIA NO ESPECIFICADA"
"T788","OTROS EFECTOS ADVERSOS, NO CLASIFICADOS EN OTRA PARTE"
"T789","EFECTO ADVERSO NO ESPECIFICADO"
"T790","EMBOLIA GASEOSA (TRAUMATICA)"
"T791","EMBOLIA GRASA (TRAUMATICA)"
"T792","HEMORRAGIA TRAUMATICA SECUNDARIA Y RECURRENTE"
"T793","INFECCION POSTRAUMATICA DE HERIDA, NO CLASIFICADA EN OTRA PARTE"
"T794","CHOQUE TRAUMATICO"
"T795","ANURIA TRAUMATICA"
"T796","ISQUEMIA TRAUMATICA DE MUSCULO"
"T797","ENFISEMA SUBCUTANEO TRAUMATICO"
"T798","OTRAS COMPLICACIONES PRECOCES DE LOS TRAUMATISMOS"
"T799","COMPLICACIONES PRECOCES NO ESPECIFICADAS DE LOS TRAUMATISMOS"
"T800","EMBOLIA GASEOSA CONSECUTIVA A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA"
"T801","COMPLICACIONES VASCULARES CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA"
"T802","INFECCIONES CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA"
